Year,UNIT_MEASURE,TYPE_OF_DEPENDENCY_RATIO,SPOL,Entity,Value
1971,%,total_support_ratio,Oba spola,BiH,65.4
1971,%,total_support_ratio,M,BiH,67.9
1971,%,total_support_ratio,Ž,BiH,63.0
1981,%,total_support_ratio,Oba spola,BiH,52.3
1981,%,total_support_ratio,M,BiH,53.0
1981,%,total_support_ratio,Ž,BiH,51.6
1991,%,total_support_ratio,Oba spola,BiH,48.3
1991,%,total_support_ratio,M,BiH,46.8
1991,%,total_support_ratio,Ž,BiH,49.7
2013,%,total_support_ratio,Oba spola,BiH,42.1
2013,%,total_support_ratio,M,BiH,39.2
2013,%,total_support_ratio,Ž,BiH,44.9
1971,%,young_age_support_ratio,Oba spola,BiH,57.0
1971,%,young_age_support_ratio,M,BiH,60.2
1971,%,young_age_support_ratio,Ž,BiH,53.9
1981,%,young_age_support_ratio,Oba spola,BiH,42.5
1981,%,young_age_support_ratio,M,BiH,44.5
1981,%,young_age_support_ratio,Ž,BiH,40.6
1991,%,young_age_support_ratio,Oba spola,BiH,35.6
1991,%,young_age_support_ratio,M,BiH,36.6
1991,%,young_age_support_ratio,Ž,BiH,34.6
2013,%,young_age_support_ratio,Oba spola,BiH,21.9
2013,%,young_age_support_ratio,M,BiH,22.4
2013,%,young_age_support_ratio,Ž,BiH,21.3
1971,%,old_age_support_ratio,Oba spola,BiH,8.4
1971,%,old_age_support_ratio,M,BiH,7.7
1971,%,old_age_support_ratio,Ž,BiH,9.1
1981,%,old_age_support_ratio,Oba spola,BiH,9.8
1981,%,old_age_support_ratio,M,BiH,8.5
1981,%,old_age_support_ratio,Ž,BiH,11.0
1991,%,old_age_support_ratio,Oba spola,BiH,12.7
1991,%,old_age_support_ratio,M,BiH,10.1
1991,%,old_age_support_ratio,Ž,BiH,15.2
2013,%,old_age_support_ratio,Oba spola,BiH,20.2
2013,%,old_age_support_ratio,M,BiH,16.8
2013,%,old_age_support_ratio,Ž,BiH,23.6
1971,%,older_persons_to_youth_ratio,Oba spola,BiH,14.8
1971,%,older_persons_to_youth_ratio,M,BiH,12.8
1971,%,older_persons_to_youth_ratio,Ž,BiH,16.9
1981,%,older_persons_to_youth_ratio,Oba spola,BiH,23.1
1981,%,older_persons_to_youth_ratio,M,BiH,19.2
1981,%,older_persons_to_youth_ratio,Ž,BiH,27.2
1991,%,older_persons_to_youth_ratio,Oba spola,BiH,35.6
1991,%,older_persons_to_youth_ratio,M,BiH,27.7
1991,%,older_persons_to_youth_ratio,Ž,BiH,43.8
2013,%,older_persons_to_youth_ratio,Oba spola,BiH,92.3
2013,%,older_persons_to_youth_ratio,M,BiH,75.0
2013,%,older_persons_to_youth_ratio,Ž,BiH,110.6
2013,%,total_support_ratio,Oba spola,FBIH,40.8
2013,%,total_support_ratio,M,FBIH,38.4
2013,%,total_support_ratio,Ž,FBIH,43.1
2013,%,young_age_support_ratio,Oba spola,FBIH,22.6
2013,%,young_age_support_ratio,M,FBIH,23.3
2013,%,young_age_support_ratio,Ž,FBIH,22.0
2013,%,old_age_support_ratio,Oba spola,FBIH,18.1
2013,%,old_age_support_ratio,M,FBIH,15.1
2013,%,old_age_support_ratio,Ž,FBIH,21.1
2013,%,older_persons_to_youth_ratio,Oba spola,FBIH,80.1
2013,%,older_persons_to_youth_ratio,M,FBIH,65.0
2013,%,older_persons_to_youth_ratio,Ž,FBIH,96.1
2013,%,total_support_ratio,Oba spola,RS,44.4
2013,%,total_support_ratio,M,RS,40.6
2013,%,total_support_ratio,Ž,RS,48.2
2013,%,young_age_support_ratio,Oba spola,RS,20.4
2013,%,young_age_support_ratio,M,RS,20.8
2013,%,young_age_support_ratio,Ž,RS,20.1
2013,%,old_age_support_ratio,Oba spola,RS,24.0
2013,%,old_age_support_ratio,M,RS,19.8
2013,%,old_age_support_ratio,Ž,RS,28.2
2013,%,older_persons_to_youth_ratio,Oba spola,RS,117.4
2013,%,older_persons_to_youth_ratio,M,RS,95.6
2013,%,older_persons_to_youth_ratio,Ž,RS,140.3
2013,%,total_support_ratio,Oba spola,BD,43.3
2013,%,total_support_ratio,M,BD,40.6
2013,%,total_support_ratio,Ž,BD,46.0
2013,%,young_age_support_ratio,Oba spola,BD,22.4
2013,%,young_age_support_ratio,M,BD,23.3
2013,%,young_age_support_ratio,Ž,BD,21.6
2013,%,old_age_support_ratio,Oba spola,BD,20.8
2013,%,old_age_support_ratio,M,BD,17.3
2013,%,old_age_support_ratio,Ž,BD,24.4
2013,%,older_persons_to_youth_ratio,Oba spola,BD,92.8
2013,%,older_persons_to_youth_ratio,M,BD,74.5
2013,%,older_persons_to_youth_ratio,Ž,BD,112.7
