Year,Пол,Витална статистика,UNIT_MEASURE,Value
2020,Оба пола,Живорођени,Број,29511
2020,Оба пола,Смртни случајеви,Број,37517
2020,Оба пола,Природно кретање,Број,-8006
2025,Оба пола,Живорођени,Број,26090
2025,Оба пола,Смртни случајеви,Број,39013
2025,Оба пола,Природно кретање,Број,-12924
2030,Оба пола,Живорођени,Број,22815
2030,Оба пола,Смртни случајеви,Број,40539
2030,Оба пола,Природно кретање,Број,-17724
2035,Оба пола,Живорођени,Број,20041
2035,Оба пола,Смртни случајеви,Број,42144
2035,Оба пола,Природно кретање,Број,-22103
2040,Оба пола,Живорођени,Број,18095
2040,Оба пола,Смртни случајеви,Број,43514
2040,Оба пола,Природно кретање,Број,-25419
2045,Оба пола,Живорођени,Број,16461
2045,Оба пола,Смртни случајеви,Број,44097
2045,Оба пола,Природно кретање,Број,-27635
2050,Оба пола,Живорођени,Број,14955
2050,Оба пола,Смртни случајеви,Број,43537
2050,Оба пола,Природно кретање,Број,-28582
2055,Оба пола,Живорођени,Број,13510
2055,Оба пола,Смртни случајеви,Број,42130
2055,Оба пола,Природно кретање,Број,-28620
2060,Оба пола,Живорођени,Број,12120
2060,Оба пола,Смртни случајеви,Број,40129
2060,Оба пола,Природно кретање,Број,-28009
2065,Оба пола,Живорођени,Број,10861
2065,Оба пола,Смртни случајеви,Број,37783
2065,Оба пола,Природно кретање,Број,-26921
2070,Оба пола,Живорођени,Број,9813
2070,Оба пола,Смртни случајеви,Број,35279
2070,Оба пола,Природно кретање,Број,-25466
2020,M,Живорођени,Број,15198
2020,M,Смртни случајеви,Број,19067
2020,M,Природно кретање,Број,-3869
2025,M,Живорођени,Број,13436
2025,M,Смртни случајеви,Број,19749
2025,M,Природно кретање,Број,-6313
2030,M,Живорођени,Број,11750
2030,M,Смртни случајеви,Број,20416
2030,M,Природно кретање,Број,-8666
2035,M,Живорођени,Број,10321
2035,M,Смртни случајеви,Број,21110
2035,M,Природно кретање,Број,-10788
2040,M,Живорођени,Број,9319
2040,M,Смртни случајеви,Број,21636
2040,M,Природно кретање,Број,-12317
2045,M,Живорођени,Број,84778
2045,M,Смртни случајеви,Број,21687
2045,M,Природно кретање,Број,-13210
2050,M,Живорођени,Број,7702
2050,M,Смртни случајеви,Број,21195
2050,M,Природно кретање,Број,-13493
2055,M,Живорођени,Број,6958
2055,M,Смртни случајеви,Број,20338
2055,M,Природно кретање,Број,-13181
2060,M,Живорођени,Број,6242
2060,M,Смртни случајеви,Број,19208
2060,M,Природно кретање,Број,-12966
2065,M,Живорођени,Број,5593
2065,M,Смртни случајеви,Број,17838
2065,M,Природно кретање,Број,-12245
2070,M,Живорођени,Број,5054
2070,M,Смртни случајеви,Број,16376
2070,M,Природно кретање,Број,-11322
2020,Ж,Живорођени,Број,14313
2020,Ж,Смртни случајеви,Број,18449
2020,Ж,Природно кретање,Број,-4137
2025,Ж,Живорођени,Број,12653
2025,Ж,Смртни случајеви,Број,19264
2025,Ж,Природно кретање,Број,-6610
2030,Ж,Живорођени,Број,11065
2030,Ж,Смртни случајеви,Број,20123
2030,Ж,Природно кретање,Број,-9058
2035,Ж,Живорођени,Број,9720
2035,Ж,Смртни случајеви,Број,21034
2035,Ж,Природно кретање,Број,-11314
2040,Ж,Живорођени,Број,8776
2040,Ж,Смртни случајеви,Број,21878
2040,Ж,Природно кретање,Број,-13102
2045,Ж,Живорођени,Број,7984
2045,Ж,Смртни случајеви,Број,22409
2045,Ж,Природно кретање,Број,-14426
2050,Ж,Живорођени,Број,7253
2050,Ж,Смртни случајеви,Број,22342
2050,Ж,Природно кретање,Број,-15088
2055,Ж,Живорођени,Број,6552
2055,Ж,Смртни случајеви,Број,21792
2055,Ж,Природно кретање,Број,-15239
2060,Ж,Живорођени,Број,5878
2060,Ж,Смртни случајеви,Број,20921
2060,Ж,Природно кретање,Број,-15043
2065,Ж,Живорођени,Број,5268
2065,Ж,Смртни случајеви,Број,19944
2065,Ж,Природно кретање,Број,-14677
2070,Ж,Живорођени,Број,4760
2070,Ж,Смртни случајеви,Број,18904
2070,Ж,Природно кретање,Број,-14144
