Year,SPOL,CAUSE_OF_DEATH,UNIT_MEASURE,Value
1999,Oba spola,neoplasms,Broj,4591
1999,Oba spola,diseases_of_the_circulatory,Broj,15911
1999,Oba spola,diseases_of_the_respiratory,Broj,866
1999,Oba spola,diseases_of_the_digestive,Broj,709
1999,Oba spola,symptoms_signs_and_abnormal,Broj,2552
1999,Oba spola,injuries_poisoning_and_consequences,Broj,1022
1999,Oba spola,Ukupno,Broj,25651
1999,M,neoplasms,Broj,2752
1999,M,diseases_of_the_circulatory,Broj,7700
1999,M,diseases_of_the_respiratory,Broj,498
1999,M,diseases_of_the_digestive,Broj,445
1999,M,symptoms_signs_and_abnormal,Broj,1347
1999,M,injuries_poisoning_and_consequences,Broj,786
1999,M,Ukupno,Broj,13528
1999,Ž,neoplasms,Broj,1839
1999,Ž,diseases_of_the_circulatory,Broj,8211
1999,Ž,diseases_of_the_respiratory,Broj,368
1999,Ž,diseases_of_the_digestive,Broj,264
1999,Ž,symptoms_signs_and_abnormal,Broj,1205
1999,Ž,injuries_poisoning_and_consequences,Broj,236
1999,Ž,Ukupno,Broj,12123
2000,Oba spola,neoplasms,Broj,5122
2000,Oba spola,diseases_of_the_circulatory,Broj,16283
2000,Oba spola,diseases_of_the_respiratory,Broj,805
2000,Oba spola,diseases_of_the_digestive,Broj,848
2000,Oba spola,symptoms_signs_and_abnormal,Broj,2860
2000,Oba spola,injuries_poisoning_and_consequences,Broj,1091
2000,Oba spola,Ukupno,Broj,27009
2000,M,neoplasms,Broj,3144
2000,M,diseases_of_the_circulatory,Broj,7810
2000,M,diseases_of_the_respiratory,Broj,464
2000,M,diseases_of_the_digestive,Broj,518
2000,M,symptoms_signs_and_abnormal,Broj,1484
2000,M,injuries_poisoning_and_consequences,Broj,812
2000,M,Ukupno,Broj,14232
2000,Ž,neoplasms,Broj,1978
2000,Ž,diseases_of_the_circulatory,Broj,8473
2000,Ž,diseases_of_the_respiratory,Broj,341
2000,Ž,diseases_of_the_digestive,Broj,330
2000,Ž,symptoms_signs_and_abnormal,Broj,1376
