Year,Sex,Administrative area,UNIT_MEASURE,Value
1971,Both sexes,BiH,Number per 1000 live births,22.0
1981,Both sexes,BiH,Number per 1000 live births,17.2
1991,Both sexes,BiH,Number per 1000 live births,14.9
1996,Both sexes,BiH,Number per 1000 live births,14.0
1997,Both sexes,BiH,Number per 1000 live births,12.4
1998,Both sexes,BiH,Number per 1000 live births,11.0
1999,Both sexes,BiH,Number per 1000 live births,10.1
2000,Both sexes,BiH,Number per 1000 live births,9.7
2001,Both sexes,BiH,Number per 1000 live births,7.6
2002,Both sexes,BiH,Number per 1000 live births,9.4
2003,Both sexes,BiH,Number per 1000 live births,7.6
2004,Both sexes,BiH,Number per 1000 live births,7.2
2005,Both sexes,BiH,Number per 1000 live births,6.7
2006,Both sexes,BiH,Number per 1000 live births,7.5
2007,Both sexes,BiH,Number per 1000 live births,6.8
2008,Both sexes,BiH,Number per 1000 live births,6.9
2009,Both sexes,BiH,Number per 1000 live births,6.5
2010,Both sexes,BiH,Number per 1000 live births,6.4
2011,Both sexes,BiH,Number per 1000 live births,5.8
2012,Both sexes,BiH,Number per 1000 live births,5.4
2013,Both sexes,BiH,Number per 1000 live births,5.9
2014,Both sexes,BiH,Number per 1000 live births,5.2
2015,Both sexes,BiH,Number per 1000 live births,6.1
2016,Both sexes,BiH,Number per 1000 live births,5.9
2017,Both sexes,BiH,Number per 1000 live births,6.5
2018,Both sexes,BiH,Number per 1000 live births,6.2
2019,Both sexes,BiH,Number per 1000 live births,6.7
1996,M,BiH,Number per 1000 live births,14.8
1997,M,BiH,Number per 1000 live births,14.6
1998,M,BiH,Number per 1000 live births,12.9
1999,M,BiH,Number per 1000 live births,11.2
2000,M,BiH,Number per 1000 live births,10.8
2001,M,BiH,Number per 1000 live births,8.2
2002,M,BiH,Number per 1000 live births,10.4
2003,M,BiH,Number per 1000 live births,8.4
2004,M,BiH,Number per 1000 live births,8.3
2005,M,BiH,Number per 1000 live births,7.5
2006,M,BiH,Number per 1000 live births,9.0
2007,M,BiH,Number per 1000 live births,7.5
2008,M,BiH,Number per 1000 live births,7.4
2009,M,BiH,Number per 1000 live births,6.4
2010,M,BiH,Number per 1000 live births,7.2
2011,M,BiH,Number per 1000 live births,6.7
2012,M,BiH,Number per 1000 live births,6.6
2013,M,BiH,Number per 1000 live births,6.9
2014,M,BiH,Number per 1000 live births,4.7
2015,M,BiH,Number per 1000 live births,6.1
2016,M,BiH,Number per 1000 live births,7.1
2017,M,BiH,Number per 1000 live births,6.7
2018,M,BiH,Number per 1000 live births,6.0
2019,M,BiH,Number per 1000 live births,6.9
1996,F,BiH,Number per 1000 live births,13.2
1997,F,BiH,Number per 1000 live births,10.0
1998,F,BiH,Number per 1000 live births,8.9
1999,F,BiH,Number per 1000 live births,9.1
2000,F,BiH,Number per 1000 live births,8.5
2001,F,BiH,Number per 1000 live births,7.0
2002,F,BiH,Number per 1000 live births,8.3
2003,F,BiH,Number per 1000 live births,6.7
2004,F,BiH,Number per 1000 live births,6.0
2005,F,BiH,Number per 1000 live births,5.9
2006,F,BiH,Number per 1000 live births,5.9
2007,F,BiH,Number per 1000 live births,6.1
2008,F,BiH,Number per 1000 live births,6.3
2009,F,BiH,Number per 1000 live births,6.5
2010,F,BiH,Number per 1000 live births,5.6
2011,F,BiH,Number per 1000 live births,4.8
2012,F,BiH,Number per 1000 live births,4.2
2013,F,BiH,Number per 1000 live births,4.8
2014,F,BiH,Number per 1000 live births,5.6
2015,F,BiH,Number per 1000 live births,6.1
2016,F,BiH,Number per 1000 live births,4.6
2017,F,BiH,Number per 1000 live births,6.3
2018,F,BiH,Number per 1000 live births,6.5
2019,F,BiH,Number per 1000 live births,6.5
