Year,UNIT_MEASURE,School year,Sex,Value
2013,Number,2011/2012,Both sexes,2861
2013,Number,2012/2013,Both sexes,3156
2013,Number,2013/2014,Both sexes,3228
2013,Number,2014/2015,Both sexes,3534
2013,Number,2015/2016,Both sexes,3780
2013,Number,2016/2017,Both sexes,4453
2013,Number,2017/2018,Both sexes,4884
2013,Number,2018/2019,Both sexes,5663
2013,Number,2019/2020,Both sexes,6076
2013,Number,2020/2021,Both sexes,5751
2013,Number,2011/2012,M,1528
2013,Number,2012/2013,M,1616
2013,Number,2013/2014,M,1719
2013,Number,2014/2015,M,1808
2013,Number,2015/2016,M,2009
2013,Number,2016/2017,M,2403
2013,Number,2017/2018,M,2535
2013,Number,2018/2019,M,2948
2013,Number,2019/2020,M,3137
2013,Number,2020/2021,M,2854
2013,Number,2011/2012,F,1333
2013,Number,2012/2013,F,1540
2013,Number,2013/2014,F,1509
2013,Number,2014/2015,F,1726
2013,Number,2015/2016,F,1771
2013,Number,2016/2017,F,2050
2013,Number,2017/2018,F,2349
2013,Number,2018/2019,F,2715
2013,Number,2019/2020,F,2939
2013,Number,2020/2021,F,2897
