Year,UNIT_MEASURE,Пол,Административно подручје,Value
2001,Број,M,BiH,98.0
2002,Број,M,BiH,77.0
2003,Број,M,BiH,91.0
2004,Број,M,BiH,94.0
2005,Број,M,BiH,85.0
2006,Број,M,BiH,83.0
2007,Број,M,BiH,98.0
2008,Број,M,BiH,102.0
2009,Број,M,BiH,80.0
2010,Број,M,BiH,83.0
2011,Број,M,BiH,57.0
2012,Број,M,BiH,64.0
2013,Број,M,BiH,45.0
2014,Број,M,BiH,45.0
2015,Број,M,BiH,56.0
2016,Број,M,BiH,54.0
2017,Број,M,BiH,51.0
2018,Број,M,BiH,49.0
2019,Број,M,BiH,40.0
2001,Број,Ж,BiH,95.0
2002,Број,Ж,BiH,61.0
2003,Број,Ж,BiH,59.0
2004,Број,Ж,BiH,74.0
2005,Број,Ж,BiH,62.0
2006,Број,Ж,BiH,54.0
2007,Број,Ж,BiH,76.0
2008,Број,Ж,BiH,69.0
2009,Број,Ж,BiH,56.0
2010,Број,Ж,BiH,60.0
2011,Број,Ж,BiH,61.0
2012,Број,Ж,BiH,56.0
2013,Број,Ж,BiH,57.0
2014,Број,Ж,BiH,32.0
2015,Број,Ж,BiH,58.0
2016,Број,Ж,BiH,56.0
2017,Број,Ж,BiH,52.0
2018,Број,Ж,BiH,39.0
2019,Број,Ж,BiH,42.0
1996,Број,Оба пола,BiH,271.0
1997,Број,Оба пола,BiH,240.0
1998,Број,Оба пола,BiH,202.0
1999,Број,Оба пола,BiH,224.0
2000,Број,Оба пола,BiH,159.0
2001,Број,Оба пола,BiH,193.0
2002,Број,Оба пола,BiH,138.0
2003,Број,Оба пола,BiH,150.0
2004,Број,Оба пола,BiH,168.0
2005,Број,Оба пола,BiH,147.0
2006,Број,Оба пола,BiH,137.0
2007,Број,Оба пола,BiH,174.0
2008,Број,Оба пола,BiH,171.0
2009,Број,Оба пола,BiH,136.0
2010,Број,Оба пола,BiH,143.0
2011,Број,Оба пола,BiH,118.0
2012,Број,Оба пола,BiH,120.0
2013,Број,Оба пола,BiH,102.0
2014,Број,Оба пола,BiH,77.0
